"item_id","section","legacy_score","statement","disposition","embedded_assumption","ambiguity_and_bias","gaming_risk","role_or_culture_risk","required_evidence"
"L303","Continuous Integration - Microservices","-1","The build process is considered 'tribal knowledge'.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L304","Continuous Integration - Microservices","1","Build to a dedicated environment is repeatable and automated.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L305","Continuous Integration - Microservices","1","There is automated unit testing in the build.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L306","Continuous Integration - Microservices","1","State of the build is a responsibility of the team.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L307","Continuous Integration - Microservices","1","Build is automatically triggered.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L308","Continuous Integration - Microservices","1","Broken builds get fixed within 24 hours.","rewrite","Assumes endorsement of this statement represents organizational capability.","limited lexical ambiguity; context still unspecified","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L309","Continuous Integration - Microservices","1","There is reporting of code quality, build statistics, and testing results.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L310","Continuous Integration - Microservices","1","If complete regression build runs too long, then the build may be split into (1) Fast, incremental commit build launched for each check-in and (2) Complete regression build with automated functional tests as part of success criteria.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L311","Continuous Integration - Microservices","1","The commit build provides feedback on common build problems in under 10 minutes.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L312","Continuous Integration - Microservices","1","Each team member pushes code regularly (at least once a day) triggering the CI system.","rewrite","Assumes endorsement of this statement represents organizational capability.","limited lexical ambiguity; context still unspecified","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L313","Continuous Integration - Microservices","2","Build success criteria extend to non-functional considerations - such as architectural breaches, slow tests, and coding standard violations.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L314","Continuous Integration - Microservices","2","Reporting capabilities provide complete transparency across all aspects of code quality, build statistics, and testing results.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L315","Continuous Integration - Microservices","3","Builds are done in parallel reducing overall build time.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L316","Continuous Integration - Microservices","3","Targeted feedback for corrective measures on failed builds occur across builds.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L317","Continuous Integration - Microservices","3","Reporting capabilities provide analytics, and cross module comparisons.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L318","Continuous Integration - Microservices","3","There are rollback capabilities for broken builds.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L319","Continuous Delivery - Legacy","-1","Deployment is manually performed, infrequently custom every time; or may be repeatable but static.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L320","Continuous Delivery - Legacy","-1","Deployment is owned by a specific member of the team.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L321","Continuous Delivery - Legacy","1","Deployment to a dedicated environment is repeatable and automated and triggered on a schedule.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L322","Continuous Delivery - Legacy","1","State of the deployment is a responsibility of a role defined for build and release engineer.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L323","Continuous Delivery - Legacy","1","Software is built in every stage of the deployment pipeline.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L324","Continuous Delivery - Legacy","1","Deployment occurs based on a cycle that is as short as possible while accommodating a full loop of the testing feedback cycle.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L325","Continuous Delivery - Legacy","1","State of the deployment is the responsibility of the team.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L326","Continuous Delivery - Legacy","1","Binaries are built once, and deployed to multiple environments, as necessary.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L327","Continuous Delivery - Legacy","1","Testing and release environment mirror production.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L328","Continuous Delivery - Legacy","2","Deployment occurs based on a cycle that is as short as possible while accommodating a full loop of the user feedback cycle.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L329","Continuous Delivery - Legacy","2","Deployment can be made on components that allow for targeted features, - allowing for incremental feature releases.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L330","Continuous Delivery - Legacy","2","Automation extends to non-server configuration such as networks, and external services.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L331","Continuous Delivery - Legacy","3","Deploy can be made based on limited access to specific target end users.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L332","Continuous Delivery - Legacy","3","Incremental rollback occurs as needed.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L333","Continuous Delivery - Legacy","3","Continuous delivery environment collects data about feature usage and allows for blue green testing before full feature release in production.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L334","Continuous Delivery - Microservices","-1","Deployment is manually performed, infrequently custom every time; or may be repeatable but static.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L335","Continuous Delivery - Microservices","-1","Deployment is owned by a specific member of the team.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L336","Continuous Delivery - Microservices","1","Deployment to a dedicated environment is repeatable and automated and triggered on a schedule.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L337","Continuous Delivery - Microservices","1","State of the deployment is a responsibility of a role defined for build and release engineer.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L338","Continuous Delivery - Microservices","1","Software is built in every stage of the deployment pipeline.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L339","Continuous Delivery - Microservices","1","Deployment occurs based on a cycle that is as short as possible while accommodating a full loop of the testing feedback cycle.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L340","Continuous Delivery - Microservices","1","State of the deployment is the responsibility of the team.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L341","Continuous Delivery - Microservices","1","Binaries are built once, and deployed to multiple environments, as necessary.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L342","Continuous Delivery - Microservices","1","Testing and release environment mirror production.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L343","Continuous Delivery - Microservices","2","Deployment occurs based on a cycle that is as short as possible while accommodating a full loop of the user feedback cycle.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L344","Continuous Delivery - Microservices","2","Deployment can be made on components that allow for targeted features, - allowing for incremental feature releases.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L345","Continuous Delivery - Microservices","2","Automation extends to non-server configuration such as networks, and external services.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L346","Continuous Delivery - Microservices","3","Deploy can be made based on limited access to specific target end users.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L347","Continuous Delivery - Microservices","3","Incremental rollback occurs as needed.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L348","Continuous Delivery - Microservices","3","Continuous delivery environment collects data about feature usage and allows for blue green testing before full feature release in production.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L349","Automated Regression Testing","-1","No automated regression tests - it is all done manually.","rewrite","Assumes endorsement of this statement represents organizational capability.","absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L350","Automated Regression Testing","-1","The team complains that they have tried to get automated functional tests to work in the past, but they say it slows them down and is too expensive for this group to do.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L351","Automated Regression Testing","-1","Little to no organizational support for leadership promoting an investment in test automation.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L352","Automated Regression Testing","1","There is some automated testing, including some in the automated regression build.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L353","Automated Regression Testing","1","Automated regression tests complete in less than two hours.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L354","Automated Regression Testing","1","Code coverage is measured on automated functional tests.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L355","Automated Regression Testing","1","All of the tests are included in a CI build and there are rarely test cases commented out or ignored.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L356","Automated Regression Testing","1","The team values automated testing.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L357","Automated Regression Testing","1","Pipeline includes gating factor to ensure that important code quality metrics don't backslide","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L358","Automated Regression Testing","2","The team agrees that the automated tests are valuable and organize to run them in various CI builds.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L359","Automated Regression Testing","2","They recognize that they can't be run all of the time for each build, so they will be segregated and run at different times.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L360","Automated Regression Testing","2","There may be time sequences where all of the builds are not running successfully because the tests are failing.","rewrite","Assumes endorsement of this statement represents organizational capability.","absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L361","Automated Regression Testing","2","Sometimes they will allow a small set of tests to be commented out as they are difficult to debug/fix.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L362","Automated Regression Testing","2","Similar to automated unit testing, the team understands and works to have fast and reliable automated feature tests.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L363","Automated Regression Testing","2","A smoke test is included with the unit tests to ensure major capabilities continue to work with each check-in.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L364","Automated Regression Testing","3","Speed and durability are significant concerns, and the team works at writing good and fast tests.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L365","Automated Regression Testing","3","All the tests are allocated to a CI build to ensure they run at some times.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L366","Automated Regression Testing","3","The team understand that the automated tests are a real safety net and use them to strive for zero defects to production.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L367","Automated Regression Testing","3","Performance and other non-functional requirements are included in the tests.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L368","Automated Regression Testing","3","The tests are structured so that the developers run all unit tests and key functional tests (smoke tests) prior to every check-in.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L369","Source Code Management - Legacy","-1","Traditional schemes based on file-locking and time-sharing or no code repository is used.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L370","Source Code Management - Legacy","-1","Check-ins are not performed in short time-frames, leaving code unprotected and not integrated for long periods of time (greater than a couple of days).","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L371","Source Code Management - Legacy","-1","Code branches are not well understood or managed.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L372","Source Code Management - Legacy","1","The team uses a supported SCM for code and tests..","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L373","Source Code Management - Legacy","1","IDE(s) integrate with SCM.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L374","Source Code Management - Legacy","1","Developers include meaningful comments in commits.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L375","Source Code Management - Legacy","1","Build can pull code from repository.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L376","Source Code Management - Legacy","1","The team checks in at least every couple of days into the mainline trunk.","rewrite","Assumes endorsement of this statement represents organizational capability.","limited lexical ambiguity; context still unspecified","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L377","Source Code Management - Legacy","1","Mainline branches are protected from inadvertent changes.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L378","Source Code Management - Legacy","1","Each team member can often merge their code with no merge problems.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L379","Source Code Management - Legacy","2","SCM supports merging; optimistic check-ins.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L380","Source Code Management - Legacy","2","Build does pull code from repository.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L381","Source Code Management - Legacy","2","Check-ins are done daily, if not several times per day.","rewrite","Assumes endorsement of this statement represents organizational capability.","limited lexical ambiguity; context still unspecified","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L382","Source Code Management - Legacy","2","Team does not check in code if the build is broken, unless the check-in is to fix the build.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L383","Source Code Management - Legacy","2","Production or release branch fixes are always applied consistently to trunk.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L384","Source Code Management - Legacy","3","Commits are logically orchestrated; all development and release collateral is in SCM.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L385","Source Code Management - Legacy","3","Gated check-in's are enforced; all steps passing with improving metrics.","rewrite","Assumes endorsement of this statement represents organizational capability.","absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L386","Source Code Management - Legacy","3","Branches are used effectively, and merges are are easily supported.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L387","Source Code Management - Microservices","-1","Traditional schemes based on file-locking and time-sharing or no code repository is used.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
